State,Death
alabama,yes
arkansas,yes
arizona,yes
california,yes
colorado,no
connecticut,no
delaware,no
florida,yes
georgia,yes
iowa,no
idaho,yes
illinois,no
indiana,yes
kansas,yes
louisiana,yes
massachusetts,no
maryland,no
maine,no
michigan,no
minnesota,no
missouri,yes
mississippi,yes
montana,yes
north carolina,yes
north dakota,no
nebraska,yes
new hampshire,no
new jersey,no
new mexico,no
nevada,yes
new york,no
ohio,yes
oklahoma,yes
oregon,yes
pennsylvania,yes
rhode island,no
south carolina,yes
south dakota,yes
tennessee,yes
texas,yes
utah,yes
virginia,yes
washington,no
wisconsin,no
west virginia,no
wyoming,yes
