,,,,,,,,,,,,,,,,,,,,,,,,
Name,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,,,,,,,,,,,,,,,,,,,,,
Alabama,16.8,16.5,17.1,,,,,,,,,,,,,,,,,,,,,
Alaska,11.1,10.5,11.7,,,,,,,,,,,,,,,,,,,,,
Arizona,14.1,13.8,14.4,,,,,,,,,,,,,,,,,,,,,
Arkansas,16.8,16.3,17.3,,,,,,,,,,,,,,,,,,,,,
California,12.8,12.7,12.9,,,,,,,,,,,,,,,,,,,,,
Colorado,9.7,9.5,9.9,,,,,,,,,,,,,,,,,,,,,
Connecticut,10.3,10.0,10.6,,,,,,,,,,,,,,,,,,,,,
Delaware,12.2,11.6,12.8,,,,,,,,,,,,,,,,,,,,,
Florida,13.7,13.5,13.9,,,,,,,,,,,,,,,,,,,,,
Georgia,14.5,14.2,14.8,,,,,,,,,,,,,,,,,,,,,
Hawaii,9.0,8.5,9.5,,,,,,,,,,,,,,,,,,,,,
Idaho,11.7,11.3,12.1,,,,,,,,,,,,,,,,,,,,,
Illinois,12.1,11.9,12.3,,,,,,,,,,,,,,,,,,,,,
Indiana,13.0,12.7,13.3,,,,,,,,,,,,,,,,,,,,,
Iowa,11.2,10.9,11.5,,,,,,,,,,,,,,,,,,,,,
Kansas,11.9,11.5,12.3,,,,,,,,,,,,,,,,,,,,,
Kentucky,16.7,16.3,17.1,,,,,,,,,,,,,,,,,,,,,
Louisiana,18.7,18.3,19.1,,,,,,,,,,,,,,,,,,,,,
Maine,11.6,11.2,12.0,,,,,,,,,,,,,,,,,,,,,
Maryland,9.1,8.8,9.4,,,,,,,,,,,,,,,,,,,,,
Massachusetts,10.0,9.8,10.2,,,,,,,,,,,,,,,,,,,,,
Michigan,14.0,13.8,14.2,,,,,,,,,,,,,,,,,,,,,
Minnesota,9.6,9.4,9.8,,,,,,,,,,,,,,,,,,,,,
Mississippi,19.8,19.3,20.3,,,,,,,,,,,,,,,,,,,,,
Missouri,13.2,12.9,13.5,,,,,,,,,,,,,,,,,,,,,
Montana,12.9,12.4,13.4,,,,,,,,,,,,,,,,,,,,,
Nebraska,11.0,10.6,11.4,,,,,,,,,,,,,,,,,,,,,
Nevada,13.1,12.7,13.5,,,,,,,,,,,,,,,,,,,,,
New Hampshire,7.6,7.3,7.9,,,,,,,,,,,,,,,,,,,,,
New Jersey,9.5,9.3,9.7,,,,,,,,,,,,,,,,,,,,,
New Mexico,18.8,18.3,19.3,,,,,,,,,,,,,,,,,,,,,
New York,13.7,13.5,13.9,,,,,,,,,,,,,,,,,,,,,
North Carolina,14.1,13.8,14.4,,,,,,,,,,,,,,,,,,,,,
North Dakota,10.6,10.0,11.2,,,,,,,,,,,,,,,,,,,,,
Ohio,13.8,13.6,14.0,,,,,,,,,,,,,,,,,,,,,
Oklahoma,15.5,15.2,15.8,,,,,,,,,,,,,,,,,,,,,
Oregon,12.5,12.2,12.8,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,12.2,12.0,12.4,,,,,,,,,,,,,,,,,,,,,
Rhode Island,12.8,12.2,13.4,,,,,,,,,,,,,,,,,,,,,
South Carolina,15.2,14.9,15.5,,,,,,,,,,,,,,,,,,,,,
South Dakota,12.9,12.4,13.4,,,,,,,,,,,,,,,,,,,,,
Tennessee,15.2,14.9,15.5,,,,,,,,,,,,,,,,,,,,,
Texas,14.9,14.7,15.1,,,,,,,,,,,,,,,,,,,,,
Utah,9.1,8.7,9.5,,,,,,,,,,,,,,,,,,,,,
Vermont,10.7,10.1,11.3,,,,,,,,,,,,,,,,,,,,,
Virginia,10.7,10.5,10.9,,,,,,,,,,,,,,,,,,,,,
Washington,10.3,10.1,10.5,,,,,,,,,,,,,,,,,,,,,
West Virginia,17.4,16.9,17.9,,,,,,,,,,,,,,,,,,,,,
Wisconsin,11.1,10.9,11.3,,,,,,,,,,,,,,,,,,,,,
Wyoming,10.7,10.0,11.4,,,,,,,,,,,,,,,,,,,,,
